module,key,en,ko,ja,zh-Hant,th,id,fr,de,es,it,pt,tr,ru,ar
auth,# Email Verification (shared across signup / login / link / email_change),,,,,,,,,,,,,,
auth,email_verification_subject,Your Ailom safe code,Ailom 안심 인증 코드,Ailom 安心認証コード,Ailom 安心驗證碼,รหัสยืนยันที่ปลอดภัยจาก Ailom,Kode aman Ailom Anda,Votre code Ailom sécurisé,Ihr Ailom Sicherheitscode,Tu código seguro de Ailom,Il tuo codice sicuro Ailom,Seu código seguro do Ailom,Ailom güvenli kodunuz,Ваш надёжный код Ailom,رمز Ailom الآمن
auth,email_verification_heading,Your safe code,안심 인증 코드,安心認証コード,安心驗證碼,รหัสยืนยันที่ปลอดภัย,Kode aman Anda,Votre code sécurisé,Ihr Sicherheitscode,Tu código seguro,Il tuo codice sicuro,Seu código seguro,Güvenli kodunuz,Ваш надёжный код,رمزك الآمن
auth,email_verification_instruction,"Hello,\nWe sent a code so you can come into Ailom safely.\nIt only takes a moment.","안녕하세요,\nAilom에 안심하게 들어오실 수 있도록 인증 코드를 보냈어요.\n잠시면 끝나요.","こんにちは。\nAilomに安心してお入りいただけるよう、認証コードをお送りしました。\nほんの少しで完了します。","您好，\n為了讓您安心進入 Ailom，我們已寄出驗證碼。\n只需要片刻即可完成。","สวัสดีค่ะ/ครับ\nเราได้ส่งรหัสเพื่อให้คุณเข้าสู่ Ailom อย่างปลอดภัย\nใช้เวลาเพียงครู่เดียว","Halo,\nKami mengirim kode agar Anda bisa masuk ke Ailom dengan aman.\nHanya butuh sebentar.","Bonjour,\nNous vous avons envoyé un code pour entrer dans Ailom en toute sérénité.\nCela ne prend qu'un instant.","Hallo,\nwir haben Ihnen einen Code gesendet, damit Sie sicher in Ailom hineinfinden.\nEs dauert nur einen Moment.","Hola,\nte enviamos un código para que entres a Ailom con tranquilidad.\nSolo toma un momento.","Ciao,\nti abbiamo inviato un codice per entrare in Ailom in sicurezza.\nCi vuole solo un attimo.","Olá,\nenviamos um código para você entrar no Ailom com segurança.\nLeva só um instante.","Merhaba,\nAilom'a güvenle girebilmeniz için bir kod gönderdik.\nSadece bir an alır.","Здравствуйте,\nмы отправили код, чтобы вы могли спокойно войти в Ailom.\nЭто займёт всего минуту.","مرحباً،\nأرسلنا رمزاً لكي تدخل إلى Ailom بأمان.\nلن يستغرق الأمر سوى لحظة."
auth,email_verification_validity,This code is valid for 10 minutes.,이 코드는 10분간 유효해요.,このコードは10分間有効です。,此驗證碼 10 分鐘內有效。,รหัสนี้ใช้ได้ 10 นาที,Kode ini berlaku selama 10 menit.,Ce code est valable 10 minutes.,Dieser Code ist 10 Minuten gültig.,Este código es válido durante 10 minutos.,Questo codice è valido per 10 minuti.,Este código é válido por 10 minutos.,Bu kod 10 dakika geçerlidir.,Этот код действителен 10 минут.,هذا الرمز صالح لمدة 10 دقائق.
auth,email_verification_security,"If you didn't request this, you can safely ignore this email.\nYour account remains protected.","본인이 요청하지 않으셨다면, 이 메일은 그대로 두셔도 괜찮아요.\n계정은 안전하게 보호되고 있어요.","ご本人が要求されていない場合は、このメールはそのままにしておいて大丈夫です。\nアカウントは安全に保護されています。","若您並未提出此請求，可以忽略這封郵件。\n您的帳戶仍然受到保護。","หากคุณไม่ได้เป็นผู้ขอ คุณสามารถไม่สนใจอีเมลนี้ได้\nบัญชีของคุณยังได้รับการคุ้มครองอย่างปลอดภัย","Jika Anda tidak meminta ini, Anda bisa mengabaikan email ini dengan tenang.\nAkun Anda tetap terlindungi.","Si vous n'êtes pas à l'origine de cette demande, vous pouvez ignorer ce message en toute sérénité.\nVotre compte reste protégé.","Falls Sie das nicht angefordert haben, können Sie diese E-Mail beruhigt ignorieren.\nIhr Konto bleibt geschützt.","Si no fuiste tú quien lo solicitó, puedes ignorar este correo con tranquilidad.\nTu cuenta sigue protegida.","Se non hai richiesto tu, puoi ignorare questa email serenamente.\nIl tuo account resta protetto.","Se você não solicitou, pode ignorar este e-mail tranquilamente.\nSua conta segue protegida.","Bunu siz talep etmediyseniz, bu e-postayı içiniz rahat bırakabilirsiniz.\nHesabınız güvende kalmaya devam eder.","Если вы не запрашивали это, можете спокойно проигнорировать письмо.\nВаш аккаунт остаётся под защитой.","إذا لم تطلب هذا، يمكنك تجاهل هذا البريد بكل اطمئنان.\nحسابك لا يزال محميًا."
auth,email_verification_footer_note,This email was sent to help you sign in to Ailom.,이 메일은 Ailom 로그인 안내를 위해 발송되었어요.,このメールはAilomへのサインインのご案内のためにお送りしました。,這封郵件是為了協助您登入 Ailom 而寄出。,อีเมลนี้ถูกส่งเพื่อช่วยให้คุณเข้าสู่ระบบ Ailom,Email ini dikirim untuk membantu Anda masuk ke Ailom.,Cet e-mail vous a été envoyé pour vous aider à vous connecter à Ailom.,"Diese E-Mail wurde gesendet, um Ihnen die Anmeldung bei Ailom zu erleichtern.",Este correo se envió para ayudarte a iniciar sesión en Ailom.,Questa email è stata inviata per aiutarti ad accedere ad Ailom.,Este e-mail foi enviado para ajudar você a entrar no Ailom.,"Bu e-posta, Ailom'a giriş yapmanıza yardımcı olmak için gönderildi.","Это письмо отправлено, чтобы помочь вам войти в Ailom.",تم إرسال هذا البريد لمساعدتك في تسجيل الدخول إلى Ailom.
auth,email_verification_slogan,"Ailom — Peace of Mind, Woven into Everyday Life.",Ailom — 일상에 스며드는 안심.,Ailom — 日常に寄り添う安心。,Ailom — 融入日常的安心。,Ailom — ความอุ่นใจที่แทรกซึมในทุกวัน,Ailom — Ketenangan yang Menyatu dalam Keseharian.,Ailom — La sérénité au fil du quotidien.,Ailom — Geborgenheit im Alltag.,Ailom — Tranquilidad en lo cotidiano.,Ailom — Serenità nella vita quotidiana.,Ailom — Tranquilidade no dia a dia.,Ailom — Günlük Hayata Dokunan Huzur.,Ailom — Спокойствие в повседневной жизни.,Ailom — طمأنينة تتخلل الحياة اليومية.
auth,# API Responses,,,,,,,,,,,,,,
auth,consent_recorded,Your consent has been saved.,동의가 저장되었어요.,同意を保存しました。,已儲存您的同意。,บันทึกความยินยอมของคุณแล้ว,Persetujuan Anda telah disimpan.,Votre consentement a été enregistré.,Ihre Einwilligung wurde gespeichert.,Tu consentimiento se ha guardado.,Il tuo consenso è stato salvato.,Seu consentimento foi salvo.,Onayınız kaydedildi.,Ваше согласие сохранено.,تم حفظ موافقتك.
